stim_id,display_time,"center_is_prime(0no,1yes)","cloud(-1_distratcor,0_none,1_prime)",trial_purpose
0,1000,1,-1,practice
1,250,1,0,practice
2,100,0,1,practice
3,250,0,1,practice
4,1000,1,0,practice
5,100,1,-1,burn-in
6,250,1,1,burn-in
7,1000,1,0,burn-in
8,100,0,1,burn-in
9,250,0,0,burn-in
10,1000,0,-1,burn-in
11,100,1,-1,burn-in
12,250,1,1,burn-in
13,1000,1,0,burn-in
14,100,0,1,burn-in
15,250,0,0,burn-in
16,1000,0,-1,burn-in
17,250,1,1,data
18,250,1,1,data
19,250,1,1,data
20,250,1,1,data
21,250,1,1,data
22,250,1,1,data
23,100,1,1,data
24,100,1,1,data
25,100,1,1,data
26,100,1,1,data
27,100,1,1,data
28,100,1,1,data
29,1000,1,1,data
30,1000,1,1,data
31,1000,1,1,data
32,1000,1,1,data
33,1000,1,1,data
34,1000,1,1,data
35,250,0,1,data
36,250,0,1,data
37,250,0,1,data
38,250,0,1,data
39,250,0,1,data
40,250,0,1,data
41,100,0,1,data
42,100,0,1,data
43,100,0,1,data
44,100,0,1,data
45,100,0,1,data
46,100,0,1,data
47,1000,0,1,data
48,1000,0,1,data
49,1000,0,1,data
50,1000,0,1,data
51,1000,0,1,data
52,1000,0,1,data
53,250,1,0,data
54,250,1,0,data
55,250,1,0,data
56,250,1,0,data
57,250,1,0,data
58,250,1,0,data
59,100,1,0,data
60,100,1,0,data
61,100,1,0,data
62,100,1,0,data
63,100,1,0,data
64,100,1,0,data
65,1000,1,0,data
66,1000,1,0,data
67,1000,1,0,data
68,1000,1,0,data
69,1000,1,0,data
70,1000,1,0,data
71,250,0,0,data
72,250,0,0,data
73,250,0,0,data
74,250,0,0,data
75,250,0,0,data
76,250,0,0,data
77,100,0,0,data
78,100,0,0,data
79,100,0,0,data
80,100,0,0,data
81,100,0,0,data
82,100,0,0,data
83,1000,0,0,data
84,1000,0,0,data
85,1000,0,0,data
86,1000,0,0,data
87,1000,0,0,data
88,1000,0,0,data
89,250,1,-1,data
90,250,1,-1,data
91,250,1,-1,data
92,250,1,-1,data
93,250,1,-1,data
94,250,1,-1,data
95,100,1,-1,data
96,100,1,-1,data
97,100,1,-1,data
98,100,1,-1,data
99,100,1,-1,data
100,100,1,-1,data
101,1000,1,-1,data
102,1000,1,-1,data
103,1000,1,-1,data
104,1000,1,-1,data
105,1000,1,-1,data
106,1000,1,-1,data
107,250,0,-1,data
108,250,0,-1,data
109,250,0,-1,data
110,250,0,-1,data
111,250,0,-1,data
112,250,0,-1,data
113,100,0,-1,data
114,100,0,-1,data
115,100,0,-1,data
116,100,0,-1,data
117,100,0,-1,data
118,100,0,-1,data
119,1000,0,-1,data
120,1000,0,-1,data
121,1000,0,-1,data
122,1000,0,-1,data
123,1000,0,-1,data
124,1000,0,-1,data
