"","targets","cues"
"1","STREET","address"
"2","STREET","alley"
"3","STREET","avenue"
"4","STREET","block"
"5","STREET","boulevard"
"6","STREET","bourbon"
"7","STREET","city"
"8","STREET","corner"
"9","STREET","cross"
"10","STREET","crossing"
"11","STREET","curb"
"12","STREET","elm"
"13","STREET","highway"
"14","STREET","homeless"
"15","STREET","lane"
"16","STREET","main"
"17","STREET","neighborhood"
"18","STREET","parkway"
"19","STREET","pavement"
"20","STREET","pedestrian"
"21","STREET","road"
"22","STREET","sidewalk"
"23","STREET","tar"
"24","STREET","wall"
"25","STREET","way"
"26","INSTRUMENT","band"
"27","INSTRUMENT","banjo"
"28","INSTRUMENT","bass"
"29","INSTRUMENT","blunt"
"30","INSTRUMENT","brass"
"31","INSTRUMENT","cello"
"32","INSTRUMENT","clarinet"
"33","INSTRUMENT","device"
"34","INSTRUMENT","fiddle"
"35","INSTRUMENT","flute"
"36","INSTRUMENT","guitar"
"37","INSTRUMENT","harp"
"38","INSTRUMENT","horn"
"39","INSTRUMENT","oboe"
"40","INSTRUMENT","piano"
"41","INSTRUMENT","saxophone"
"42","INSTRUMENT","scalpel"
"43","INSTRUMENT","stethoscope"
"44","INSTRUMENT","trombone"
"45","INSTRUMENT","trumpet"
"46","INSTRUMENT","tuba"
"47","INSTRUMENT","tune"
"48","INSTRUMENT","viola"
"49","INSTRUMENT","violin"
"50","INSTRUMENT","woodwind"
"51","YELLOW","banana"
"52","YELLOW","blonde"
"53","YELLOW","bright"
"54","YELLOW","cab"
"55","YELLOW","canary"
"56","YELLOW","caution"
"57","YELLOW","cautious"
"58","YELLOW","chick"
"59","YELLOW","corn"
"60","YELLOW","coward"
"61","YELLOW","custard"
"62","YELLOW","daisy"
"63","YELLOW","dandelion"
"64","YELLOW","golden"
"65","YELLOW","green"
"66","YELLOW","highlight"
"67","YELLOW","lemon"
"68","YELLOW","lemonade"
"69","YELLOW","mellow"
"70","YELLOW","mustard"
"71","YELLOW","ribbon"
"72","YELLOW","squash"
"73","YELLOW","submarine"
"74","YELLOW","taxi"
"75","YELLOW","yield"
"76","KNOWLEDGE","acquire"
"77","KNOWLEDGE","aware"
"78","KNOWLEDGE","competence"
"79","KNOWLEDGE","education"
"80","KNOWLEDGE","encyclopedia"
"81","KNOWLEDGE","experience"
"82","KNOWLEDGE","expert"
"83","KNOWLEDGE","fact"
"84","KNOWLEDGE","facts"
"85","KNOWLEDGE","foresight"
"86","KNOWLEDGE","hindsight"
"87","KNOWLEDGE","idea"
"88","KNOWLEDGE","information"
"89","KNOWLEDGE","insight"
"90","KNOWLEDGE","instinct"
"91","KNOWLEDGE","know"
"92","KNOWLEDGE","known"
"93","KNOWLEDGE","learn"
"94","KNOWLEDGE","learning"
"95","KNOWLEDGE","science"
"96","KNOWLEDGE","skill"
"97","KNOWLEDGE","understand"
"98","KNOWLEDGE","understanding"
"99","KNOWLEDGE","wisdom"
"100","KNOWLEDGE","wise"
"101","ORANGE","apple"
"102","ORANGE","banana"
"103","ORANGE","blossom"
"104","ORANGE","carrot"
"105","ORANGE","carrots"
"106","ORANGE","citrus"
"107","ORANGE","crush"
"108","ORANGE","fruit"
"109","ORANGE","grape"
"110","ORANGE","grove"
"111","ORANGE","juice"
"112","ORANGE","lemon"
"113","ORANGE","orange juice"
"114","ORANGE","orchard"
"115","ORANGE","peel"
"116","ORANGE","produce"
"117","ORANGE","pumpkin"
"118","ORANGE","purple"
"119","ORANGE","rust"
"120","ORANGE","slice"
"121","ORANGE","squeeze"
"122","ORANGE","sunset"
"123","ORANGE","tangerine"
"124","ORANGE","tangy"
"125","WEIGHT","anchor"
