"","Targets"
"1","STREET"
"2","INSTRUMENT"
"3","YELLOW"
"4","KNOWLEDGE"
"5","ORANGE"
"6","WEIGHT"
"7","CHILDREN"
"8","ENGLISH"
"9","BRIGHT"
"10","SMOOTH"
"11","CIRCLE"
"12","MOTHER"
"13","VACATION"
"14","CHEESE"
"15","DESTROY"
"16","FINGER"
"17","UNDERSTAND"
"18","MEDICINE"
"19","CRIMINAL"
"20","PRIEST"
"21","PRESIDENT"
"22","LAWYER"
"23","HOSPITAL"
"24","MACHINE"
"25","ACCIDENT"
"26","NEEDLE"
"27","BUTTER"
"28","NEWSPAPER"
"29","CHRISTMAS"
"30","EXERCISE"
"31","SECRET"
"32","FEELING"
"33","IMPORTANT"
"34","MARRIAGE"
"35","FINISH"
"36","DISEASE"
"37","DIAMOND"
"38","COFFEE"
"39","STRING"
"40","TROUBLE"
"41","COOKIE"
"42","CIGARETTE"
"43","VEGETABLES"
"44","MUSCLE"
"45","TRAVEL"
"46","GROUND"
"47","INDIAN"
"48","WINDOW"
"49","SQUARE"
"50","HAMMER"
"51","PENCIL"
"52","PRESENT"
"53","LEADER"
"54","SANDWICH"
"55","NERVOUS"
"56","INSECT"
"57","BUSINESS"
"58","WEDDING"
"59","BROKEN"
"60","POLITICS"
"61","PLAYER"
"62","POTATO"
"63","MONKEY"
"64","ISLAND"
"65","DRIVER"
"66","STRAIGHT"
"67","STRESS"
"68","ELECTRICITY"
"69","CEREAL"
"70","EXPENSIVE"
"71","COLLEGE"
"72","FOREST"
"73","MAGAZINE"
"74","WORKER"
"75","FOREVER"
"76","AIRPLANE"
"77","STRANGE"
"78","REASON"
"79","BREAKFAST"
"80","MORNING"
"81","STICKY"
"82","FOLLOW"
"83","BASKETBALL"
"84","MEETING"
"85","ENERGY"
"86","VEGETABLE"
"87","FORGET"
"88","CATHOLIC"
"89","HAMBURGER"
"90","FREEDOM"
"91","MEASURE"
"92","SPORTS"
"93","PRISON"
"94","CORRECT"
"95","AMOUNT"
"96","MURDER"
"97","OPINION"
"98","MILITARY"
"99","BEAUTY"
"100","HEADACHE"
"101","HUNGRY"
"102","GUILTY"
"103","TELEPHONE"
"104","FISHING"
"105","GARBAGE"
"106","TENNIS"
"107","BROTHER"
"108","LANGUAGE"
"109","SUMMER"
"110","PARENT"
"111","RELATIVE"
"112","LIQUOR"
"113","HALLOWEEN"
"114","RESTAURANT"
"115","FLORIDA"
"116","HEAVEN"
"117","GUITAR"
"118","AMERICAN"
"119","STRENGTH"
"120","SOLDIER"
"121","PSYCHOLOGY"
"122","ACTION"
"123","AMERICA"
"124","COMPANY"
"125","CEMENT"
"126","CHOICE"
"127","WINNER"
"128","SISTER"
"129","BREATHE"
"130","GLASSES"
"131","SILVER"
"132","ELEPHANT"
"133","DESERT"
"134","CANCER"
"135","BREATH"
"136","SORROW"
"137","OFFICE"
"138","JACKET"
"139","JEWELRY"
"140","KITCHEN"
"141","BELIEF"
"142","CONTROL"
"143","OFFICER"
"144","PLANET"
"145","RABBIT"
"146","STOMACH"
"147","HONEST"
"148","PERIOD"
"149","BOTHER"
"150","NORMAL"
"151","FUTURE"
"152","SHOWER"
"153","CAREFUL"
"154","COTTON"
"155","SEPARATE"
"156","PRIVATE"
"157","PAINTING"
"158","CAMERA"
"159","COWBOY"
"160","WINTER"
"161","LENGTH"
"162","BICYCLE"
"163","CREATE"
"164","DOLLAR"
"165","BIOLOGY"
"166","CARING"
"167","ROBBER"
"168","LEATHER"
"169","APARTMENT"
"170","PARENTS"
"171","PERSONALITY"
"172","ENGINE"
"173","PILLOW"
"174","AFRAID"
"175","HEIGHT"
"176","SINGLE"
"177","UNSURE"
"178","MATURE"
"179","GENERAL"
"180","FRENCH"
"181","THREAD"
"182","STUDENT"
"183","MIDDLE"
"184","CANDLE"
"185","MONSTER"
"186","WRITING"
"187","LETTUCE"
"188","DICTIONARY"
"189","CHANCE"
"190","PURPLE"
"191","UNKNOWN"
"192","ABILITY"
"193","TOMATO"
"194","FIGURE"
"195","DESIRE"
"196","GARDEN"
"197","SUCCESS"
"198","BOTTLE"
"199","PROTECTION"
"200","RECEIVE"
"201","GREASE"
"202","FANTASY"
"203","AVERAGE"
"204","WEATHER"
"205","HAPPINESS"
"206","HEALTHY"
"207","MEANING"
"208","EXPERIMENT"
"209","SCHEDULE"
"210","HOLIDAY"
"211","BUTTON"
"212","SYSTEM"
"213","VISION"
"214","WEALTH"
"215","ILLNESS"
"216","SPECIAL"
"217","REMOVE"
"218","CONTAINER"
"219","DISAPPEAR"
"220","CHOOSE"
"221","SCRATCH"
"222","SHOPPING"
"223","EXPLODE"
"224","SENTENCE"
"225","SKINNY"
"226","PUNISHMENT"
"227","TICKET"
"228","BATHROOM"
"229","CENTER"
"230","HURRICANE"
"231","BUBBLE"
"232","BASKET"
"233","ARTIST"
"234","NUMBERS"
"235","BLANKET"
"236","SIMILAR"
"237","COMMON"
"238","INFORMATION"
"239","GEOMETRY"
"240","ANNOYING"
"241","STEREO"
"242","INTELLIGENT"
"243","CONCRETE"
"244","ATHLETE"
"245","TRUMPET"
"246","ACCEPT"
"247","PRESSURE"
"248","PROPERTY"
"249","CONFUSION"
"250","FOREIGN"
"251","CLOSET"
"252","INTELLIGENCE"
"253","FRIENDS"
"254","DISLIKE"
"255","DESTRUCTION"
"256","DEPRESSED"
"257","SPAGHETTI"
"258","MIRROR"
"259","FORWARD"
"260","POISON"
"261","STRAWBERRY"
"262","ASPIRIN"
"263","PERFUME"
"264","HIGHWAY"
"265","SECRETARY"
"266","LETTERS"
"267","SECOND"
"268","VIOLIN"
"269","SNEEZE"
"270","SHOVEL"
"271","BLONDE"
"272","INSIDE"
"273","BOYFRIEND"
"274","DISHES"
"275","JEWISH"
"276","PEANUT"
"277","CASTLE"
"278","SPEECH"
"279","HOMELESS"
"280","THEORY"
"281","SWALLOW"
"282","DANCER"
"283","ANIMALS"
"284","ITALIAN"
"285","BIRTHDAY"
"286","COMFORTABLE"
"287","DISGUSTING"
"288","RELIGIOUS"
"289","FURNITURE"
"290","SECURE"
"291","TONGUE"
"292","AGAINST"
"293","UNIQUE"
"294","DISASTER"
"295","ELECTRIC"
"296","ATTACK"
"297","DOUBLE"
"298","SINGER"
"299","RELATIONSHIP"
"300","COMFORT"
"301","FEATHER"
"302","EXCITING"
"303","WONDERFUL"
"304","RUBBER"
"305","PHYSICS"
"306","CHEMICAL"
"307","REACTION"
"308","CONCEITED"
"309","ANXIOUS"
"310","FACTORY"
"311","LAUNDRY"
"312","UNHAPPY"
"313","PUZZLE"
"314","EMBARRASS"
"315","LIGHTNING"
"316","SHAMPOO"
"317","CRACKER"
"318","BARBECUE"
"319","BLEACH"
"320","MYSTERY"
"321","FEMALE"
"322","MISTAKE"
"323","NECKLACE"
"324","WRITER"
"325","EXPLAIN"
"326","FRIGHT"
"327","STAIRS"
"328","BALLET"
"329","INNOCENT"
"330","BORROW"
"331","GRANDMA"
"332","SPANISH"
"333","HEALTH"
"334","NEGATIVE"
"335","TURKEY"
"336","INCREASE"
"337","CARPET"
"338","STATUE"
"339","OUTSIDE"
"340","PROMISE"
"341","EXCUSE"
"342","OPENING"
"343","CONSTRUCTION"
"344","SPRING"
"345","KNIGHT"
"346","AFRICA"
"347","STORAGE"
"348","MANNERS"
"349","WONDER"
"350","VAMPIRE"
"351","OBJECT"
"352","ENVIRONMENT"
"353","FUNERAL"
"354","SCIENTIST"
"355","LIQUID"
"356","AGREEMENT"
"357","LONELY"
"358","THEATER"
"359","MEMORY"
"360","REGULAR"
"361","HORROR"
"362","DIFFICULT"
"363","THROAT"
"364","PLENTY"
"365","EVENING"
"366","POLITE"
"367","HIDDEN"
"368","DESSERT"
"369","HANDLE"
"370","CAMPING"
"371","WRENCH"
"372","QUARTER"
"373","SUCCEED"
"374","DRAWING"
"375","DESIGN"
"376","UNCONSCIOUS"
"377","INJURY"
"378","COUPLE"
"379","MANAGER"
"380","BEHAVIOR"
"381","PRAISE"
"382","VIOLENT"
"383","EDUCATION"
"384","OUTGOING"
"385","ANCIENT"
"386","EUROPE"
"387","RELEASE"
"388","CHERRY"
"389","MICROSCOPE"
"390","CHRISTIAN"
"391","AUTHORITY"
"392","PUDDING"
"393","FLOWERS"
"394","LEAVES"
"395","VOLCANO"
"396","SCREAM"
"397","THIRST"
"398","KETCHUP"
"399","DIVIDE"
"400","PEPPER"
"401","TORNADO"
"402","POSITIVE"
"403","PANCAKES"
"404","CIRCUS"
"405","MUSTARD"
"406","SIDEWALK"
"407","DIRECTION"
"408","PERFECT"
"409","MOTORCYCLE"
"410","BEGINNING"
"411","STRIPE"
"412","SQUIRREL"
"413","ACCOUNT"
"414","FRATERNITY"
"415","STREAM"
"416","BASEMENT"
"417","ARGUMENT"
"418","PRISONER"
"419","OXYGEN"
"420","FASHION"
"421","SIMPLE"
"422","JUNGLE"
"423","COURAGE"
"424","BRANCH"
"425","TISSUE"
"426","HONESTY"
"427","DANGEROUS"
"428","SEAFOOD"
"429","TERRIBLE"
"430","MOVEMENT"
"431","STATION"
"432","EMOTION"
"433","ELEVATOR"
"434","BANANA"
"435","UNCLEAR"
"436","CROOKED"
"437","PUNISH"
"438","SUITCASE"
"439","DEFEAT"
"440","SAFETY"
"441","CLOUDY"
"442","MATERIAL"
"443","SWEATER"
"444","CEILING"
"445","PAYMENT"
"446","GROCERIES"
"447","PARKING"
"448","EXPLOSION"
"449","SUNSHINE"
"450","SEARCH"
"451","PATIENT"
"452","DEGREE"
"453","JUSTICE"
"454","SOCCER"
"455","ILLEGAL"
"456","WHISKEY"
"457","SHRIMP"
"458","CAUTION"
"459","RODENT"
"460","PEACEFUL"
"461","ORGANIZE"
"462","DENTIST"
"463","VIRGIN"
"464","KITTEN"
"465","SECURITY"
"466","COMPLETE"
"467","SERVICE"
"468","UNUSUAL"
"469","STICKER"
"470","POETRY"
"471","EXCITED"
"472","ADMIRE"
"473","COMPLEX"
"474","COLLAR"
"475","BRIDGE"
"476","UNCERTAIN"
"477","FRIENDLY"
"478","CONCERT"
"479","STRETCH"
"480","MARKET"
"481","ALGEBRA"
"482","OLYMPICS"
"483","AWESOME"
"484","MARIJUANA"
"485","SPEAKER"
"486","ROMANCE"
"487","REJECT"
"488","SICKNESS"
"489","STRIKE"
"490","KINGDOM"
"491","HISTORY"
"492","BOUNCE"
"493","CONQUER"
"494","DECEIVE"
"495","TRAFFIC"
"496","RESEARCH"
"497","GYMNASTICS"
"498","DOLPHIN"
"499","BUTTERFLY"
"500","TEMPERATURE"
"501","TOILET"
"502","MORALS"
"503","SUBTRACT"
"504","DOLLARS"
"505","NICKEL"
"506","IGNORE"
"507","SYMPATHY"
"508","WAITER"
"509","MINUTE"
"510","FRAGILE"
"511","SUNSET"
"512","ALUMINUM"
"513","DECISION"
"514","FRANCE"
"515","CHRIST"
"516","BRACELET"
"517","HALLWAY"
"518","BEHIND"
"519","WAITRESS"
"520","COLLECT"
"521","EMPLOYEE"
"522","DOUGHNUT"
"523","RECORD"
"524","DISAGREE"
"525","ENGLAND"
"526","PRINCESS"
"527","FICTION"
"528","CARROT"
"529","DIVORCE"
"530","FINGERS"
"531","AIRPORT"
"532","FUNGUS"
"533","TRIANGLE"
"534","INSURANCE"
"535","REPEAT"
"536","ABNORMAL"
"537","BROCCOLI"
"538","SERVANT"
"539","FORGIVE"
"540","CALIFORNIA"
"541","PURPOSE"
"542","DEODORANT"
"543","LADDER"
"544","SUNDAY"
"545","FAUCET"
"546","MULTIPLY"
"547","SURGERY"
"548","HYDROGEN"
"549","COMMENT"
"550","FREEZE"
"551","EMERGENCY"
"552","RESPONSE"
"553","AUTHOR"
"554","COCAINE"
"555","BREAKABLE"
"556","JOURNEY"
"557","RESPECT"
"558","UNCOMFORTABLE"
"559","SILENT"
"560","NEIGHBORHOOD"
"561","DISTANCE"
"562","SLIPPERY"
"563","TUNNEL"
"564","KILLER"
"565","INSULT"
"566","CONFUSED"
"567","ENTRANCE"
"568","ENVELOPE"
"569","ADVENTURE"
"570","LIVING"
"571","DRAGON"
"572","SAXOPHONE"
"573","HANGER"
"574","DRESSING"
"575","TALENT"
"576","BACTERIA"
"577","SOCKET"
"578","SOLUTION"
"579","PROFESSOR"
"580","YOGURT"
"581","CUSHION"
"582","POLITICIAN"
"583","MOTION"
"584","NATURE"
"585","FROZEN"
"586","DECIDE"
"587","REFUSE"
"588","TYPEWRITER"
"589","SLOPPY"
"590","STATEMENT"
"591","ARROGANT"
"592","THERAPY"
"593","WEIGHTS"
"594","SERGEANT"
"595","CALCULUS"
"596","MOSQUITO"
"597","BURGLAR"
"598","VANILLA"
"599","PLAYGROUND"
"600","BATTERY"
"601","DISCOVER"
"602","COWARD"
"603","AMATEUR"
"604","ESCAPE"
"605","ORIGINAL"
"606","ADVICE"
"607","PARAGRAPH"
"608","CONCLUSION"
"609","REWARD"
"610","COPPER"
"611","GOODBYE"
"612","DETERGENT"
"613","DISORDER"
"614","ACCOMPLISH"
"615","WARNING"
"616","MASTER"
"617","EARRING"
"618","PRODUCT"
"619","EXPERT"
"620","CLARINET"
"621","SURPRISE"
"622","OPPOSITE"
"623","SIGNAL"
"624","CAPTAIN"
"625","VALLEY"
"626","DOCUMENT"
"627","COMEDY"
"628","OFFICIAL"
"629","HOLDER"
"630","CURTAIN"
"631","CALENDAR"
"632","CULTURE"
"633","TRANSPORTATION"
"634","SEASONING"
"635","PICNIC"
"636","FARMER"
"637","GENTLE"
"638","MAGICIAN"
"639","REPORT"
"640","RETURN"
"641","SELFISH"
"642","HELPFUL"
"643","HUSBAND"
"644","TOOTHPASTE"
"645","ROTTEN"
"646","TOMORROW"
"647","FLAKES"
"648","BOTTOM"
"649","SCISSORS"
"650","ENDING"
"651","ASLEEP"
"652","STAPLE"
"653","HUNGER"
"654","ENCYCLOPEDIA"
"655","ADULTS"
"656","NOODLES"
"657","SHEETS"
"658","ORCHESTRA"
"659","WASHER"
"660","OUTDOORS"
"661","HOCKEY"
"662","REPUBLICAN"
"663","PRECISE"
"664","DIRECTIONS"
"665","FORTUNE"
"666","EMPIRE"
"667","REFRIGERATOR"
"668","MUFFIN"
"669","INHALE"
"670","THIRSTY"
"671","LOVING"
"672","GIRLFRIEND"
"673","PROFESSIONAL"
"674","ELECTION"
"675","SEATBELT"
"676","TEMPLE"
"677","GAMBLE"
"678","DECREASE"
"679","BACKPACK"
"680","SORORITY"
"681","HELPER"
"682","CABINET"
"683","SUMMARY"
"684","ROCKET"
"685","FOLDER"
"686","SUBJECT"
"687","OBJECTIVE"
"688","PYRAMID"
"689","PROTECT"
"690","ACHIEVE"
"691","SENIOR"
"692","POLISH"
"693","SHUTTLE"
"694","APPEAR"
"695","RAILROAD"
"696","NOTEBOOK"
"697","FIGHTER"
"698","CONDOM"
"699","BEAVER"
"700","MONDAY"
"701","PAJAMAS"
"702","FAILURE"
"703","STOCKING"
"704","PERSUADE"
"705","UNFAIR"
"706","PLASTIC"
"707","SATURDAY"
"708","SUBMARINE"
"709","DEFINITION"
"710","UNIVERSE"
"711","ADJECTIVE"
"712","NOVICE"
"713","LOBSTER"
"714","BLUEBERRY"
"715","AGGRESSIVE"
"716","ASSISTANT"
"717","LIZARD"
"718","FORMAL"
"719","SNEAKY"
"720","SAYING"
"721","WORKOUT"
"722","POCKET"
"723","SITUATION"
"724","DANDRUFF"
"725","CLEANER"
"726","EXCHANGE"
"727","REPTILE"
"728","CUCUMBER"
"729","GROWTH"
"730","DEFEND"
"731","SUGGEST"
"732","CARNIVAL"
"733","KLEENEX"
"734","SQUASH"
"735","WRINKLE"
"736","ARTICLE"
"737","PREACHER"
"738","VITAMIN"
"739","CONTRACT"
"740","PURCHASE"
"741","FLEXIBLE"
"742","EARTHQUAKE"
"743","PUMPKIN"
"744","LECTURE"
"745","CARTOON"
"746","SKETCH"
"747","ADVERB"
"748","LIPSTICK"
"749","COURSE"
"750","CLUMSY"
"751","POPCORN"
"752","FORBID"
"753","ORDINARY"
"754","MISSING"
"755","GARLIC"
"756","FABRIC"
"757","ERASER"
"758","MASSAGE"
"759","GRAMMAR"
"760","SWITCH"
"761","COUSIN"
"762","HAWAII"
"763","WORSHIP"
"764","MEDIUM"
"765","UNIVERSITY"
"766","GENIUS"
"767","BITTER"
"768","AEROBICS"
"769","MATTER"
"770","LOCATION"
"771","LICENSE"
"772","COOKIES"
"773","MISSION"
"774","REMOTE"
"775","GOSSIP"
"776","EXCITEMENT"
"777","ELEGANT"
"778","BARGAIN"
"779","FLAVOR"
"780","ETERNITY"
"781","CONFUSE"
"782","PADDLE"
"783","ATTORNEY"
"784","PRODUCE"
"785","INTEREST"
"786","PHYSICAL"
"787","ENGINEER"
"788","IMAGINE"
"789","SPOUSE"
"790","EXCELLENT"
"791","COOKED"
"792","COMMUNICATION"
"793","BULLET"
"794","KINDNESS"
"795","HYPOTHESIS"
"796","SUGGESTION"
"797","PAVEMENT"
"798","PLEASURE"
"799","DESCRIBE"
"800","PHRASE"
"801","MESSAGE"
"802","COMMITMENT"
"803","SPIRIT"
"804","ARRIVE"
"805","POWERFUL"
