"","Word","n"
"1","aardvark",1
"2","abandon",1
"3","abandonment",1
"4","abbreviated",1
"5","abduct",1
"6","ability",10
"7","abnormal",5
"8","abroad",1
"9","absence",2
"10","absent",3
"11","absorb",1
"12","abstract",1
"13","absurd",1
"14","abundance",3
"15","abundant",1
"16","abused",1
"17","Academy",2
"18","accelerate",1
"19","accent",1
"20","accentuate",1
"21","accept",9
"22","acceptance",1
"23","accepted",1
"24","accident",21
"25","accompany",1
"26","accomplish",5
"27","accomplished",1
"28","account",6
"29","accumulate",1
"30","accurate",1
"31","accuse",1
"32","achieve",4
"33","achievement",3
"34","acknowledge",3
"35","acquaint",1
"36","acquaintance",1
"37","acquire",2
"38","acrobat",1
"39","acrobats",1
"40","across",1
"41","action",13
"42","active",3
"43","activity",1
"44","actress",2
"45","addict",2
"46","addicted",1
"47","addiction",3
"48","addition",3
"49","address",1
"50","adjacent",1
"51","adjective",4
"52","adjourn",1
"53","Admiral",1
"54","admire",6
"55","admirer",1
"56","admission",1
"57","adolescent",3
"58","adorable",1
"59","adultery",1
"60","adults",4
"61","advance",2
"62","advanced",2
"63","advantage",2
"64","adventure",5
"65","adventurous",1
"66","adverb",4
"67","adversary",1
"68","advertise",1
"69","advertisement",2
"70","advice",5
"71","advise",2
"72","aerobics",4
"73","aerosol",1
"74","affair",3
"75","affect",2
"76","affection",2
"77","afraid",11
"78","Africa",7
"79","afternoon",1
"80","against",8
"81","agenda",3
"82","aggravate",4
"83","aggravated",1
"84","aggravating",1
"85","aggressive",4
"86","agreement",7
"87","Agriculture",1
"88","aimless",1
"89","airline",1
"90","Airlines",1
"91","airplane",15
"92","airport",5
"93","Alaska",2
"94","Albert",2
"95","algebra",6
"96","aliens",1
"97","allegiance",1
"98","allergy",3
"99","alligator",3
"100","allowed",1
"101","Almighty",1
"102","almond",3
"103","alphabet",3
"104","Alright",1
"105","aluminum",5
"106","always",16
"107","amateur",5
"108","amazement",1
"109","ambiguous",2
"110","ambition",2
"111","ambulance",2
"112","America",13
"113","American",13
"114","amoeba",1
"115","amount",14
"116","amplify",2
"117","amusing",1
"118","analysis",1
"119","analyze",2
"120","anarchy",2
"121","anatomy",2
"122","ancestor",1
"123","ancient",7
"124","android",1
"125","anemia",1
"126","anguish",2
"127","animals",8
"128","animation",1
"129","ankles",1
"130","anklet",1
"131","annihilate",1
"132","announce",1
"133","annoying",9
"134","annual",1
"135","annually",2
"136","anonymous",1
"137","anorexia",1
"138","another",2
"139","anteater",1
"140","antelope",1
"141","anthem",1
"142","antidote",1
"143","antimatter",1
"144","antiperspirant",1
"145","antique",1
"146","antisocial",1
"147","antithesis",1
"148","antler",3
"149","anxiety",3
"150","anxious",8
"151","anyone",1
"152","anything",5
"153","anywhere",1
"154","apartheid",1
"155","apartment",11
"156","apathetic",1
"157","apathy",2
"158","apology",1
"159","apparent",1
"160","appeal",1
"161","appear",4
"162","appearance",2
"163","appetite",1
"164","applause",1
"165","appliance",2
"166","application",1
"167","appoint",1
"168","appointment",3
"169","appraise",1
"170","appreciation",1
"171","approve",1
"172","approximate",1
"173","Aquarius",1
"174","Arachnid",1
"175","arches",1
"176","architect",3
"177","architecture",1
"178","argument",6
"179","Aristotle",1
"180","arithmetic",1
"181","around",10
"182","arrest",1
"183","arrive",4
"184","arrogant",5
"185","artery",1
"186","article",4
"187","artifact",1
"188","artifacts",1
"189","artist",9
"190","artistic",2
"191","ascend",2
"192","ascent",1
"193","ashamed",1
"194","ashtray",1
"195","asleep",4
"196","asphalt",3
"197","aspirin",8
"198","assault",2
"199","assemble",1
"200","assignment",1
"201","assist",2
"202","assistant",4
"203","associate",1
"204","assume",2
"205","asteroid",2
"206","astonish",1
"207","astound",1
"208","astrology",2
"209","astronomy",2
"210","asylum",1
"211","atheist",1
"212","athlete",9
"213","athletic",4
"214","Atlantic",1
"215","atmosphere",3
"216","atomic",1
"217","attach",3
"218","attache",1
"219","attack",8
"220","attempt",1
"221","attend",1
"222","attendance",1
"223","attendant",1
"224","attention",4
"225","attentive",2
"226","attire",1
"227","attitude",3
"228","attorney",4
"229","attract",3
"230","attraction",1
"231","attractive",3
"232","audience",1
"233","August",2
"234","Australia",1
"235","authentic",1
"236","author",5
"237","authority",7
"238","automatic",1
"239","automobile",1
"240","autumn",3
"241","available",1
"242","avenge",1
"243","Avenue",2
"244","average",10
"245","awareness",1
"246","awesome",6
"247","awkward",1
"248","babbling",1
"249","babies",1
"250","bachelor",2
"251","backbone",1
"252","background",2
"253","backpack",4
"254","backward",2
"255","bacteria",5
"256","badness",1
"257","baffle",1
"258","baggage",3
"259","Bahamas",2
"260","bakery",2
"261","balance",3
"262","balcony",1
"263","ballad",1
"264","ballerina",2
"265","ballet",7
"266","balloon",2
"267","ballot",1
"268","baloney",1
"269","bamboo",1
"270","banana",6
"271","bandage",3
"272","bandanna",1
"273","bandit",3
"274","banquet",1
"275","Baptist",2
"276","barbecue",7
"277","barbed",1
"278","barbells",1
"279","barber",1
"280","Barbie",1
"281","bargain",4
"282","barley",2
"283","Barney",1
"284","barrel",2
"285","barrette",1
"286","barricade",3
"287","barrier",3
"288","barter",1
"289","basement",6
"290","bashful",2
"291","basket",9
"292","basketball",15
"293","bathroom",9
"294","bathtub",3
"295","Batman",2
"296","battery",5
"297","battle",3
"298","beaker",1
"299","beanstalk",2
"300","Beatles",2
"301","beautify",1
"302","beauty",14
"303","Beaver",4
"304","became",1
"305","because",5
