"","targets","cues"
"1","STREET","avenue"
"2","STREET","boulevard"
"3","STREET","road"
"4","STREET","main"
"5","STREET","sidewalk"
"6","STREET","elm"
"7","STREET","alley"
"8","STREET","curb"
"9","STREET","lane"
"10","STREET","crossing"
"11","STREET","corner"
"12","STREET","pavement"
"13","STREET","parkway"
"14","STREET","address"
"15","STREET","wall"
"16","STREET","homeless"
"17","STREET","city"
"18","STREET","cross"
"19","STREET","highway"
"20","STREET","tar"
"21","STREET","block"
"22","STREET","bourbon"
"23","STREET","neighborhood"
"24","STREET","pedestrian"
"25","STREET","way"
"26","INSTRUMENT","woodwind"
"27","INSTRUMENT","tuba"
"28","INSTRUMENT","saxophone"
"29","INSTRUMENT","oboe"
"30","INSTRUMENT","flute"
"31","INSTRUMENT","trumpet"
"32","INSTRUMENT","trombone"
"33","INSTRUMENT","cello"
"34","INSTRUMENT","viola"
"35","INSTRUMENT","clarinet"
"36","INSTRUMENT","banjo"
"37","INSTRUMENT","harp"
"38","INSTRUMENT","violin"
"39","INSTRUMENT","brass"
"40","INSTRUMENT","fiddle"
"41","INSTRUMENT","guitar"
"42","INSTRUMENT","band"
"43","INSTRUMENT","piano"
"44","INSTRUMENT","bass"
"45","INSTRUMENT","blunt"
"46","INSTRUMENT","device"
"47","INSTRUMENT","horn"
"48","INSTRUMENT","scalpel"
"49","INSTRUMENT","stethoscope"
"50","INSTRUMENT","tune"
"51","YELLOW","mellow"
"52","YELLOW","banana"
"53","YELLOW","cab"
"54","YELLOW","green"
"55","YELLOW","squash"
"56","YELLOW","golden"
"57","YELLOW","canary"
"58","YELLOW","taxi"
"59","YELLOW","mustard"
"60","YELLOW","caution"
"61","YELLOW","coward"
"62","YELLOW","highlight"
"63","YELLOW","submarine"
"64","YELLOW","corn"
"65","YELLOW","dandelion"
"66","YELLOW","lemon"
"67","YELLOW","chick"
"68","YELLOW","daisy"
"69","YELLOW","blonde"
"70","YELLOW","yield"
"71","YELLOW","lemonade"
"72","YELLOW","ribbon"
"73","YELLOW","bright"
"74","YELLOW","cautious"
"75","YELLOW","custard"
"76","KNOWLEDGE","insight"
"77","KNOWLEDGE","information"
"78","KNOWLEDGE","wisdom"
"79","KNOWLEDGE","know"
"80","KNOWLEDGE","learn"
"81","KNOWLEDGE","experience"
"82","KNOWLEDGE","understanding"
"83","KNOWLEDGE","learning"
"84","KNOWLEDGE","encyclopedia"
"85","KNOWLEDGE","aware"
"86","KNOWLEDGE","understand"
"87","KNOWLEDGE","acquire"
"88","KNOWLEDGE","facts"
"89","KNOWLEDGE","expert"
"90","KNOWLEDGE","foresight"
"91","KNOWLEDGE","known"
"92","KNOWLEDGE","science"
"93","KNOWLEDGE","fact"
"94","KNOWLEDGE","wise"
"95","KNOWLEDGE","competence"
"96","KNOWLEDGE","education"
"97","KNOWLEDGE","skill"
"98","KNOWLEDGE","hindsight"
"99","KNOWLEDGE","idea"
"100","KNOWLEDGE","instinct"
"101","ORANGE","tangerine"
"102","ORANGE","juice"
"103","ORANGE","peel"
"104","ORANGE","grove"
"105","ORANGE","citrus"
"106","ORANGE","carrot"
"107","ORANGE","apple"
"108","ORANGE","fruit"
"109","ORANGE","pumpkin"
"110","ORANGE","tangy"
"111","ORANGE","orchard"
"112","ORANGE","carrots"
"113","ORANGE","crush"
"114","ORANGE","lemon"
"115","ORANGE","orange juice"
"116","ORANGE","sunset"
"117","ORANGE","rust"
"118","ORANGE","banana"
"119","ORANGE","purple"
"120","ORANGE","squeeze"
"121","ORANGE","blossom"
"122","ORANGE","produce"
"123","ORANGE","grape"
"124","ORANGE","slice"
"125","WEIGHT","scale"
"126","WEIGHT","scales"
"127","WEIGHT","height"
"128","WEIGHT","gain"
"129","WEIGHT","ton"
"130","WEIGHT","pound"
"131","WEIGHT","diet"
"132","WEIGHT","heavy"
"133","WEIGHT","lose"
"134","WEIGHT","calories"
"135","WEIGHT","gravity"
"136","WEIGHT","mass"
"137","WEIGHT","calorie"
"138","WEIGHT","balance"
"139","WEIGHT","weigh"
"140","WEIGHT","ounce"
"141","WEIGHT","anchor"
"142","WEIGHT","size"
"143","WEIGHT","net"
"144","WEIGHT","waist"
"145","WEIGHT","capacity"
"146","WEIGHT","lift"
"147","WEIGHT","exercise"
"148","WEIGHT","feather"
"149","CHILDREN","adults"
"150","CHILDREN","kids"
"151","CHILDREN","toys"
"152","CHILDREN","play dough"
"153","CHILDREN","playground"
"154","CHILDREN","tricycle"
"155","CHILDREN","nursery"
"156","CHILDREN","parents"
"157","CHILDREN","grown-ups"
"158","CHILDREN","missing"
"159","CHILDREN","innocent"
"160","CHILDREN","responsibility"
"161","CHILDREN","playing"
"162","CHILDREN","blocks"
"163","CHILDREN","development"
"164","CHILDREN","mischief"
"165","CHILDREN","reproduce"
"166","CHILDREN","neighborhood"
"167","CHILDREN","develop"
"168","CHILDREN","noisy"
"169","CHILDREN","yo-yo"
"170","CHILDREN","twin"
"171","CHILDREN","teach"
"172","CHILDREN","starving"
"173","ENGLISH","grammar"
"174","ENGLISH","language"
"175","ENGLISH","literature"
"176","ENGLISH","spanish"
"177","ENGLISH","muffin"
"178","ENGLISH","punctuation"
"179","ENGLISH","vocabulary"
"180","ENGLISH","adverb"
"181","ENGLISH","summary"
"182","ENGLISH","paragraph"
"183","ENGLISH","pronoun"
"184","ENGLISH","proverb"
"185","ENGLISH","verb"
"186","ENGLISH","adjective"
"187","ENGLISH","poem"
"188","ENGLISH","writing"
"189","ENGLISH","math"
"190","ENGLISH","sentence"
"191","ENGLISH","essay"
"192","ENGLISH","spell"
"193","ENGLISH","sonnet"
"194","ENGLISH","lit"
"195","ENGLISH","phrase"
"196","ENGLISH","french"
"197","BRIGHT","dim"
"198","BRIGHT","lit"
"199","BRIGHT","sunny"
"200","BRIGHT","shine"
"201","BRIGHT","vivid"
"202","BRIGHT","flashlight"
"203","BRIGHT","glow"
"204","BRIGHT","flash"
"205","BRIGHT","star"
"206","BRIGHT","highlight"
"207","BRIGHT","brilliant"
"208","BRIGHT","glare"
"209","BRIGHT","shiny"
"210","BRIGHT","yellow"
"211","BRIGHT","light"
"212","BRIGHT","lightning"
"213","BRIGHT","bold"
"214","BRIGHT","stars"
"215","BRIGHT","sunshine"
"216","BRIGHT","color"
"217","BRIGHT","smart"
"218","BRIGHT","sun"
"219","BRIGHT","golden"
"220","BRIGHT","gifted"
"221","SMOOTH","rough"
"222","SMOOTH","bumpy"
"223","SMOOTH","flat"
"224","SMOOTH","silk"
"225","SMOOTH","velvet"
"226","SMOOTH","slick"
"227","SMOOTH","satin"
"228","SMOOTH","rigid"
"229","SMOOTH","spread"
"230","SMOOTH","prickly"
"231","SMOOTH","bald"
"232","SMOOTH","crunchy"
"233","SMOOTH","shave"
"234","SMOOTH","surface"
"235","SMOOTH","glide"
"236","SMOOTH","skin"
"237","SMOOTH","sandpaper"
"238","SMOOTH","flow"
"239","SMOOTH","graceful"
"240","SMOOTH","rub"
"241","SMOOTH","vaseline"
"242","SMOOTH","soft"
"243","SMOOTH","felt"
