"","Cues","Targets","Forward.Strength","Mediated.Strength"
"1","A","ALPHABET",0.066,0.002
"2","A","LETTER",0.039,0.003
"3","AARDVARK","ANIMAL",0.322,0.021
"4","AARDVARK","ANTEATER",0.059,0.003
"5","AARDVARK","PINK PANTHER",0.026,0
"6","ABDOMEN","MUSCLE",0.046,0.007
"7","ABDOMEN","SIT UPS",0.026,0
"8","ABDOMEN","STOMACH",0.566,0.01
"9","ABDUCT","ADDUCT",0.04,0
"10","ABDUCT","KIDNAP",0.453,0.001
"11","ABILITY","CAPABILITY",0.119,0.006
"12","ABILITY","COMPETENCE",0.063,0
"13","ABILITY","DISABILITY",0.028,0
"14","ABILITY","INABILITY",0.042,0
"15","ABILITY","STRENGTH",0.056,0.01
"16","ABILITY","TALENT",0.035,0.015
"17","ABLE","CAPABLE",0.095,0
"18","ABLE","DISABLED",0.027,0
"19","ABLE","UNABLE",0.095,0
"20","ABLE","WILLING",0.264,0.001
"21","ABNORMAL","DIFFERENT",0.05,0.022
"22","ABNORMAL","NORMAL",0.281,0.013
"23","ABNORMAL","RETARDED",0.036,0
"24","ABNORMAL","STRANGE",0.108,0.09
"25","ABOVE","BEYOND",0.114,0
"26","ABSENCE","ATTENDANCE",0.039,0
"27","ABSENCE","MISSING",0.086,0
"28","ABSENCE","NOT THERE",0.033,0
"29","ABSENCE","PRESENCE",0.059,0.002
"30","ABSENCE","PRESENT",0.099,0.003
"31","ABSENT","MINDED",0.091,0
"32","ABSENT","MISSING",0.077,0
"33","ABSENT","NOT HERE",0.042,0
"34","ABSENT","PRESENT",0.294,0.001
"35","ABSENT","SCHOOL",0.042,0.001
"36","ABSTRACT","CONCRETE",0.041,0
"37","ABSTRACT","DIFFERENT",0.041,0.001
"38","ABSTRACT","PAINTING",0.103,0
"39","ABSTRACT","UNCLEAR",0.027,0
"40","ABSURD","NONSENSE",0.026,0
"41","ABSURD","RIDICULOUS",0.268,0.001
"42","ABSURD","STRANGE",0.039,0.018
"43","ABSURD","STUPID",0.137,0.06
"44","ABUNDANCE","PLENTY",0.125,0.009
"45","ABUNDANCE","SCARCITY",0.026,0
"46","ABUSE","ALCOHOL",0.03,0.001
"47","ABUSE","MISTREAT",0.045,0
"48","ABUSE","NEGLECT",0.066,0
"49","ACCELERATE","DECELERATE",0.029,0
"50","ACCELERATE","INCREASE",0.029,0
"51","ACCEPT","BELIEVE",0.027,0
"52","ACCEPT","REJECT",0.107,0.004
"53","ACCEPT","UNDERSTAND",0.047,0.002
"54","ACCIDENT","INJURY",0.034,0.001
"55","ACCIDENT","MISTAKE",0.074,0
"56","ACCIDENT","UNINTENTIONAL",0.027,0
"57","ACCOMPLISH","ACHIEVE",0.122,0.016
"58","ACCOMPLISH","COMPLETE",0.054,0.037
"59","ACCOMPLISH","FINISH",0.34,0.024
"60","ACCOMPLISH","SUCCEED",0.075,0.005
"61","ACCOMPLISHED","ACHIEVEMENT",0.068,0
"62","ACCOMPLISHED","FINISHED",0.162,0
"63","ACCOMPLISHED","SUCCESSFUL",0.074,0
"64","ACCOMPLISHED","WRITER",0.034,0
"65","ACCOUNT","CHECKING",0.035,0
"66","ACCOUNT","NUMBER",0.092,0
"67","ACCUMULATE","ACQUIRE",0.026,0.001
"68","ACCUMULATE","CLUTTER",0.026,0
"69","ACCUMULATE","COLLECT",0.159,0.069
"70","ACCUMULATE","GATHER",0.205,0.045
"71","ACCURATE","CORRECT",0.215,0.028
"72","ACCURATE","PRECISE",0.134,0.01
"73","ACCUSE","GUILTY",0.098,0.003
"74","ACCUSE","LAWYER",0.03,0.012
"75","ACCUSE","PROSECUTE",0.038,0
"76","ACCUSE","VICTIM",0.038,0
"77","ACE","BANDAGE",0.131,0
"78","ACE","SPADES",0.11,0
"79","ACHIEVE","ACCOMPLISH",0.076,0.004
"80","ACHIEVE","STRIVE",0.03,0
"81","ACHIEVE","SUCCEED",0.038,0.008
"82","ACHIEVE","SUCCESS",0.076,0.012
"83","ACHIEVEMENT","ACCOMPLISH",0.081,0.002
"84","ACHIEVEMENT","FAILURE",0.034,0.052
"85","ACHIEVEMENT","SUCCESS",0.161,0.011
"86","ACID","CHEMICAL",0.082,0.001
"87","ACID","DANGEROUS",0.027,0.003
"88","ACKNOWLEDGE","ACCEPT",0.069,0
"89","ACKNOWLEDGE","NOTICE",0.041,0.003
"90","ACKNOWLEDGE","PRESENCE",0.055,0
"91","ACKNOWLEDGE","RECOGNITION",0.041,0
"92","ACKNOWLEDGE","UNDERSTAND",0.041,0.021
"93","ACORN","SQUIRREL",0.324,0.018
"94","ACQUIRE","ACCUMULATE",0.041,0
"95","ACQUIRE","KNOWLEDGE",0.041,0
"96","ACQUIRE","OBTAIN",0.034,0.021
"97","ACQUIRE","RECEIVE",0.027,0.051
"98","ACROBAT","CIRCUS",0.175,0
"99","ACROBAT","DANCER",0.026,0
"100","ACROBAT","GYMNAST",0.201,0
"101","ACROBAT","GYMNASTICS",0.045,0.005
"102","ACROBAT","LIMBER",0.026,0
"103","ACROBAT","TRAPEZE",0.032,0
"104","ACT","PRETEND",0.176,0
"105","ACT","THEATER",0.101,0.009
"106","ACTION","ADVENTURE",0.051,0
"107","ACTION","MOTION",0.058,0.022
"108","ACTION","MOVEMENT",0.13,0.013
"109","ACTION","REACTION",0.094,0
"110","ACTIVE","ATHLETIC",0.06,0
"111","ACTIVE","ENERGY",0.047,0.001
"112","ACTIVE","EXERCISE",0.04,0.003
"113","ACTIVE","INACTIVE",0.047,0
"114","ACTIVE","MOVING",0.027,0
"115","ACTIVE","PASSIVE",0.047,0
"116","ACTIVE","SPORTS",0.087,0.017
"117","ACTIVITY","BASKETBALL",0.027,0.005
"118","ACTIVITY","ENERGY",0.033,0.001
"119","ACTIVITY","MOVEMENT",0.027,0
"120","ACTOR","ACTRESS",0.578,0.001
"121","ACTOR","TELEVISION",0.041,0.018
"122","ACTRESS","TELEVISION",0.026,0.024
"123","AD","CAMPAIGN",0.026,0
"124","AD","CLASSIFIED",0.026,0
"125","AD","COMMERCIAL",0.079,0.002
"126","AD","MAGAZINE",0.04,0.029
"127","AD","NEWSPAPER",0.252,0.009
"128","AD","SUBTRACT",0.079,0
"129","AD","TELEVISION",0.026,0.036
"130","ADD","MULTIPLY",0.05,0.01
"131","ADD","SUBTRACT",0.685,0.007
"132","ADDICT","COCAINE",0.04,0.02
"133","ADDICT","HEROIN",0.034,0
"134","ADDICT","HOOKED",0.027,0
"135","ADDICTION","COCAINE",0.055,0.05
"136","ADDICTION","JANE'S",0.034,0
"137","ADDICTION","PROBLEM",0.041,0
"138","ADDITION","SUBTRACTION",0.621,0
"139","ADDRESS","STREET",0.087,0.001
"140","ADJECTIVE","ADVERB",0.152,0.006
"141","ADJECTIVE","DESCRIBE",0.051,0
"142","ADJECTIVE","ENGLISH",0.043,0.024
"143","ADJECTIVE","OBJECTIVE",0.029,0.006
"144","ADJOURN","DISMISS",0.06,0
"145","ADJOURN","FINISH",0.04,0.023
"146","ADJOURN","MEETING",0.067,0
"147","ADJUSTMENT","CHANGE",0.209,0.027
"148","ADMIRE","BEAUTY",0.028,0
"149","ADMIRE","RESPECT",0.15,0
"150","ADMISSION","ACCEPT",0.048,0.001
"151","ADMISSION","COLLEGE",0.048,0.007
"152","ADMISSION","SCHOOL",0.061,0.012
"153","ADMISSION","TICKET",0.245,0
"154","ADMIT","CONFESS",0.131,0
"155","ADOLESCENT","PUBERTY",0.041,0
"156","ADOLESCENT","TEENAGER",0.262,0.004
"157","ADORABLE","PRETTY",0.041,0.14
"158","ADORE","ADMIRE",0.091,0.009
"159","ADORN","ADMIRE",0.033,0.002
"160","ADORN","DECORATE",0.139,0
"161","ADORN","HAIRSPRAY",0.089,0
"162","ADORN","JEWELRY",0.028,0
"163","ADORN","ORNAMENT",0.028,0
"164","ADULT","EIGHTEEN",0.034,0
"165","ADULT","MATURE",0.041,0.001
"166","ADULT","PARENT",0.115,0.02
"167","ADULT","RESPONSIBLE",0.041,0.001
"168","ADULTERY","AFFAIR",0.033,0
"169","ADULTS","CHILDREN",0.267,0.029
"170","ADULTS","GROWN-UPS",0.048,0
"171","ADULTS","MATURE",0.034,0
"172","ADULTS","PARENTS",0.13,0.026
"173","ADULTS","PEOPLE",0.062,0.003
"174","ADVANCE","FORWARD",0.23,0.011
"175","ADVANCE","RETREAT",0.027,0
"176","ADVENTURE","EXCITEMENT",0.078,0
"177","ADVENTURE","ISLAND",0.299,0
"178","ADVENTURE","JOURNEY",0.045,0.001
"179","ADVENTUROUS","BORING",0.056,0.009
"180","ADVENTUROUS","DARING",0.105,0
"181","ADVENTUROUS","EXCITING",0.028,0.007
"182","ADVENTUROUS","OUTGOING",0.035,0.002
"183","ADVENTUROUS","SPONTANEOUS",0.028,0
"184","ADVERB","ADJECTIVE",0.274,0.013
"185","ADVERB","ENGLISH",0.068,0.031
"186","ADVERSARY","FRIEND",0.086,0.081
"187","ADVERSARY","OPPONENT",0.132,0.004
"188","ADVERTISEMENT","BILLBOARD",0.066,0
"189","ADVERTISEMENT","COMMERCIAL",0.125,0.004
"190","ADVERTISEMENT","MAGAZINE",0.079,0.017
"191","ADVERTISEMENT","NEWSPAPER",0.118,0.016
"192","ADVERTISEMENT","PRODUCT",0.046,0
"193","ADVERTISEMENT","TELEVISION",0.138,0.052
"194","ADVICE","COUNSEL",0.077,0
"195","ADVICE","FRIEND",0.036,0.004
"196","ADVICE","MOTHER",0.026,0.006
"197","ADVICE","OPINION",0.041,0.003
"198","ADVICE","PARENT",0.026,0.001
"199","ADVICE","SUGGESTION",0.031,0
"200","ADVIL","ASPIRIN",0.113,0.106
"201","ADVIL","HEADACHE",0.18,0.085
"202","ADVIL","MEDICINE",0.093,0.054
"203","ADVIL","TYLENOL",0.18,0.016
"204","ADVISE","COUNSEL",0.105,0.002
"205","ADVISE","FRIEND",0.026,0.006
"206","ADVISE","SUGGEST",0.026,0
"207","AEROBICS","EXERCISE",0.327,0.034
"208","AEROBICS","FITNESS",0.027,0.005
"209","AEROBICS","SHAPELY",0.033,0
"210","AEROBICS","WORKOUT",0.067,0.007
"211","AFFAIR","ADULTERY",0.068,0
"212","AFFAIR","FAMILY",0.027,0.002
"213","AFFAIR","MARRIAGE",0.068,0.008
"214","AFFAIR","RELATIONSHIP",0.027,0
"215","AFFECT","BOTHER",0.066,0
"216","AFFECT","CHANGE",0.066,0.009
"217","AFFECT","EFFECT",0.224,0.047
"218","AFFECT","FEELING",0.026,0.004
"219","AFFECT","INFLUENCE",0.033,0
"220","AFRICA","APARTHEID",0.062,0
"221","AFRICA","CONTINENT",0.234,0.006
"222","AFRICA","COUNTRY",0.076,0.033
"223","AFRICA","JUNGLE",0.048,0
"224","AFTER","BEFORE",0.571,0
"225","AFTERNOON","EVENING",0.123,0.003
"226","AFTERNOON","MIDDAY",0.027,0
"227","AFTERNOON","MORNING",0.068,0.018
"228","AGAIN","REPEAT",0.336,0.001
"229","AGAINST","OPPOSE",0.049,0
"230","AGENCY","BUSINESS",0.068,0.024
"231","AGENCY","COMPANY",0.088,0.011
"232","AGENCY","CORPORATION",0.034,0.01
"233","AGENCY","GOVERNMENT",0.041,0.001
"234","AGENCY","INSURANCE",0.068,0
"235","AGENCY","OFFICE",0.061,0.006
"236","AGENCY","TRAVEL",0.047,0
"237","AGENDA","CALENDAR",0.034,0.005
"238","AGENDA","MEETING",0.034,0
"239","AGENDA","SCHEDULE",0.259,0.009
"240","AGENT","FEDERAL",0.027,0.001
"241","AGENT","INSURANCE",0.068,0
"242","AGENT","PERSON",0.027,0.001
"243","AGENT","REAL ESTATE",0.027,0
"244","AGENT","SECRET",0.116,0.004
"245","AGENT","SPORTS",0.027,0
"246","AGENT","TRAVEL",0.055,0
"247","AGENT","UNDERCOVER",0.041,0
"248","AGGRAVATE","ASSAULT",0.046,0
"249","AGGRAVATE","BOTHER",0.086,0.126
"250","AGGRAVATE","IRRITATE",0.125,0.03
"251","AGGRAVATE","PISS OFF",0.039,0
"252","AGGRESSIVE","FORCEFUL",0.04,0
"253","AGGRESSIVE","FORWARD",0.026,0.001
"254","AGGRESSIVE","PASSIVE",0.04,0.001
"255","AGGRESSIVE","STRONG",0.079,0.012
"256","AGONY","DEFEAT",0.11,0
"257","AGREE","COMPROMISE",0.028,0
"258","AGREE","CONSENT",0.028,0
"259","AGREE","DISAGREE",0.393,0
"260","AGREEMENT","COMPROMISE",0.048,0
"261","AGREEMENT","CONTRACT",0.151,0
"262","AGREEMENT","DISAGREEMENT",0.164,0.001
"263","AGRICULTURE","FARMER",0.033,0.001
"264","AGRICULTURE","VEGETABLES",0.026,0.003
"265","AHEAD","BEFORE",0.061,0.009
"266","AHEAD","BEHIND",0.424,0
"267","AHEAD","FORWARD",0.136,0.002
"268","AHOY","CAPTAIN",0.054,0.001
"269","AHOY","COOKIES",0.061,0
"270","AHOY","SAILOR",0.027,0
"271","AID","BANDAID",0.081,0
"272","AID","FINANCIAL",0.061,0
